PreCalc Pretest,Algebra Pretest,Course Term,Student Year,Calc Grade
32,71,15/SP,SO,D-
32,71,15/SP,FR,B-
32,68,15/SP,SO,D
32,58,15/SP,FR,D+
29,87,13/FA,FR,W
29,77,15/FA,FR,C-
29,,16/FA,FR,F
29,68,16/SP,FR,B
25,65,15/FA,FR,D-
25,42,16/SP,JR,D
25,32,16/SP,FR,F
25,84,17/SP,FR,B
21,35,13/FA,FR,D+
21,74,14/SP,FR,W
21,71,15/FA,SR,B
21,94,17/SP,SO,C+
18,39,14/FA,SO,C-
18,26,14/SP,FR,C
18,68,15/SP,FR,C
18,68,15/SP,FR,D
18,42,16/FA,JR,C
18,45,16/SP,FR,W
18,77,17/SP,SO,D-
14,81,17/SP,FR,C+
14,68,17/SP,FR,F
7,19,14/SP,FR,B-
7,74,17/FA,SO,D-
4,65,16/SP,SO,W
,87,13/FA,FR,B-
,84,13/FA,FR,B+
,81,13/FA,FR,W
,68,13/FA,FR,C
,,13/FA,JR,B+
,,13/FA,SR,C+
,,13/FA,SR,D+
,,13/FA,SR,A-
,,13/FA,SR,W
,,13/FA,JR,C
,,13/FA,SR,A
,,13/FA,SO,A+
,,13/FA,SO,B-
,,13/FA,SO,C
,,13/FA,SO,D-
,,13/FA,SO,B+
,,13/FA,JR,B
,,13/FA,JR,C
,,13/FA,JR,C+
,,13/FA,JR,D
,,13/FA,SO,F
,,13/FA,SO,C+
,,13/FA,SO,B+
,,13/FA,JR,D+
,,13/FA,SO,C-
,,13/FA,JR,B
,,13/FA,JR,A-
,,13/FA,SO,A-
,,13/FA,SO,B-
,,13/FA,FR,W
,,13/FA,SR,A-
,,13/FA,SO,W
,,13/FA,SO,A-
,,13/FA,SO,B-
,,13/FA,SO,B-
,,13/FA,SO,B
,,13/FA,SO,W
,,13/FA,SO,A-
,,13/FA,SO,C-
,,13/FA,SO,B+
,,13/FA,SO,C+
,,13/FA,SO,W
,,13/FA,SO,A
,,13/FA,SR,C+
,,13/FA,SO,B+
,,13/FA,FR,W
,,13/FA,SO,A-
,,13/FA,SO,C
,,13/FA,SO,A-
,,13/FA,SO,C
,,13/FA,SO,B-
,,13/FA,SO,D
,,13/FA,SO,A-
,,13/FA,FR,C
,,13/FA,FR,A-
,,13/FA,SO,C+
,,13/FA,FR,B
,,13/FA,FR,B
,,13/FA,FR,B+
,,13/FA,FR,A+
,,13/FA,FR,C
,100,14/FA,JR,C-
,97,14/FA,FR,A-
,97,14/FA,FR,C-
,94,14/FA,SO,C
,81,14/FA,SO,C+
,81,14/FA,SO,C
,65,14/FA,SO,F
,,14/FA,SO,W
,,14/FA,SR,F
,,14/FA,JR,C-
,,14/FA,SR,D+
,,14/FA,JR,F
,,14/FA,SR,F
,,14/FA,JR,C
,,14/FA,JR,W
,,14/FA,JR,F
,,14/FA,JR,A-
,,14/FA,SO,A
,94,14/SP,FR,W
,90,14/SP,FR,A
,,14/SP,JR,D
,,14/SP,SR,D-
,,14/SP,SR,W
,,14/SP,JR,D
,,14/SP,SO,D+
,,14/SP,SO,A+
,,14/SP,SO,D
,,14/SP,SO,W
,,14/SP,SO,D
,,14/SP,JR,W
,,14/SP,JR,D-
,,14/SP,SO,C+
,,14/SP,SO,F
,,14/SP,SO,W
,,14/SP,SO,F
,,14/SP,JR,W
,,14/SP,JR,C-
,,14/SP,FR,C+
,100,15/FA,FR,B+
,97,15/FA,FR,A
,94,15/FA,FR,C+
,94,15/FA,SO,B-
,94,15/FA,SO,A
,94,15/FA,SO,A
,90,15/FA,JR,C+
,90,15/FA,JR,B
,90,15/FA,FR,A
,90,15/FA,FR,D+
,90,15/FA,FR,F
,87,15/FA,FR,A-
,87,15/FA,SO,A-
,81,15/FA,FR,B
,68,15/FA,SO,W
,68,15/FA,JR,D
,68,15/FA,FR,D+
,65,15/FA,FR,D+
,52,15/FA,SO,C-
,,15/FA,JR,B
,,15/FA,SR,C+
